,noun
0,金曜日
1,臨時休業
2,ブタジマ
3,復活
4,確認
5,休業
6,継続
7,仕方
8,近所
9,ランチ
10,先週
11,日
12,替り
13,ランチ
14,鰻
15,予定
16,外
17,連続
18,訪問
19,名称
20,気
21,今回
22,日
23,替り
24,ランチ
25,鰻
26,トロ
27,丼
28,鰻
29,好き
30,出張
31,日頃
32,ランチ
33,高い
34,メニュー
35,敷居
36,高い
37,一
38,品
39,今回
40,僕
41,財布
42,ギリギリ
43,以内
44,価格設定
45,鰻
46,オーダー
47,支払い
48,入店
49,即
50,レジ
51,此
52,方
53,支払い
54,現金
55,登録
56,クレジットカード
57,更新
58,失念
59,利用
60,現金
61,日頃
62,財布
63,スマホケース
64,現金
65,スイカ
66,対応
67,使用
68,不可
69,場合
70,肝心
71,鰻
72,トロ
73,丼
74,オーダー
75,位
76,提供
77,鰻丼
78,トロロ
79,別
80,盛り
81,鰻丼
82,半分
83,上等
84,鰻
85,鰻
86,半分
87,後
88,人生
89,初
90,トロロ
91,鰻
92,マリアージュ
93,違和感
94,組合せ
95,好き
96,方
97,僕
98,別々
99,方
100,好き
101,リーズナブル
102,価格設定
103,鰻
104,提供
105,表現
106,ー
107,ー
108,ランチ
109,笑
110,仲
111,通り
112,所
113,飲食店
114,通り
115,メイン
116,通り
117,静か
118,落ち着き
119,散歩
120,好き
121,本日
122,居酒屋
123,ランチ
124,外観
125,外側
126,メニュー
127,夜メ
128,ニュー
129,値段
130,手頃
131,日本酒
132,多そう
133,ランチ
134,チキン南蛮
135,親子丼
136,唐揚げ
137,魚
138,定食
139,種類
140,少な目
141,以下
142,手頃
143,私
144,チキン南蛮
145,大好き
146,笑
147,定番
148,チキン南蛮
149,位
150,店内
151,先払い
152,制
153,カウンタ
154,テーブル席
155,チェーン店
156,個人
157,店
158,間
159,料理
160,提供
161,冒頭
162,通り
163,表現
164,笑
165,ボリューミー
166,心配
167,大盛
168,無料
169,男性
170,方
171,悲鳴
172,チキン
173,方
174,タルタルソース
175,酸味
176,タレ
177,酸味
178,大味
179,必死
180,全体的
181,味付け
182,大味
183,満載
184,女性
185,ハーフ
186,サイズ
187,付近
188,居酒屋
189,ランチ
190,余り
191,メニュー
192,数
193,水道橋駅
194,東洋学園大学
195,裏
196,昼ごはん
197,メニュー
198,左上
199,法則
200,チキン南蛮
201,定食
202,個
203,¥800
204,個
205,¥850
206,個
207,¥900
208,個
209,¥950
210,明朗
211,会計
212,先払い
213,個
214,定食
215,支払い
216,チキン南蛮
217,タルタルソース
218,一番
219,個
220,コレ
221,充分
222,一杯
223,無料
224,最近
225,一石
226,三
227,鳥
228,焼き鳥屋
229,混同
230,注意
231,メニュー
232,サラダ
233,普通
234,量
235,ハチノス
236,酢味噌
237,小松菜
238,白菜キムチ
239,タン
240,カク
241,テキ
242,タン
243,癖
244,ユッケ
245,海苔の佃煮
246,ユッケ
247,海苔の佃煮
248,組み合わせ
249,佃煮
250,焼き物
251,塩から
252,上たん
253,塩
254,見た目
255,鉄板
256,タン
257,厚
258,切り
259,食べ応え
260,臭み
261,締め
262,ライス
263,別
264,注文
265,ライス
266,中
267,他
268,店
269,小位
270,量
271,注意
272,タレ
273,赤身
274,系
275,ライス
276,野菜
277,カレー
278,登場
279,一瞬
280,笑
281,カレー
282,上
283,ローストビーフ
284,一
285,枚
286,テンション
287,ビジュアル
288,肝心
289,カレー
290,スパイシー
291,本格
292,的
293,味
294,旨味
295,ホルモン
296,系
297,レバー
298,小腸
299,タレ
300,目
301,締め
302,冷麺
303,太
304,麺
305,味
306,デザート
307,アイス
308,カゴ
309,スタイル
310,コールドストーン
311,重そう
312,レモン
313,シャーベット
314,チョイス
315,正解
316,新橋
