,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379
0,金曜日,臨時休業,ブタジマ,復活,確認,休業,継続,仕方,近所,ランチ,先週,日,替り,ランチ,鰻,予定,外,連続,訪問,名称,気,今回,日,替り,ランチ,鰻,トロ,丼,鰻,好き,出張,日頃,ランチ,高い,メニュー,敷居,高い,一,品,今回,僕,財布,ギリギリ,以内,価格設定,鰻,オーダー,支払い,入店,即,レジ,此,方,支払い,現金,登録,クレジットカード,更新,失念,利用,現金,日頃,財布,スマホケース,現金,スイカ,対応,使用,不可,場合,肝心,鰻,トロ,丼,オーダー,位,提供,鰻丼,トロロ,別,盛り,鰻丼,半分,上等,鰻,鰻,半分,後,人生,初,トロロ,鰻,マリアージュ,違和感,組合せ,好き,方,僕,別々,方,好き,リーズナブル,価格設定,鰻,提供,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,表現,ー,ー,ランチ,笑,仲,通り,所,飲食店,通り,メイン,通り,静か,落ち着き,散歩,好き,本日,居酒屋,ランチ,外観,外側,メニュー,夜メ,ニュー,値段,手頃,日本酒,多そう,ランチ,チキン南蛮,親子丼,唐揚げ,魚,定食,種類,少な目,以下,手頃,私,チキン南蛮,大好き,笑,定番,チキン南蛮,位,店内,先払い,制,カウンタ,テーブル席,チェーン店,個人,店,間,料理,提供,冒頭,通り,表現,笑,ボリューミー,心配,大盛,無料,男性,方,悲鳴,チキン,方,タルタルソース,酸味,タレ,酸味,大味,必死,全体的,味付け,大味,満載,女性,ハーフ,サイズ,付近,居酒屋,ランチ,余り,メニュー,数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,水道橋駅,東洋学園大学,裏,昼ごはん,メニュー,左上,法則,チキン南蛮,定食,個,¥800,個,¥850,個,¥900,個,¥950,明朗,会計,先払い,個,定食,支払い,チキン南蛮,タルタルソース,一番,個,コレ,充分,一杯,無料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,最近,一石,三,鳥,焼き鳥屋,混同,注意,メニュー,サラダ,普通,量,ハチノス,酢味噌,小松菜,白菜キムチ,タン,カク,テキ,タン,癖,ユッケ,海苔の佃煮,ユッケ,海苔の佃煮,組み合わせ,佃煮,焼き物,塩から,上たん,塩,見た目,鉄板,タン,厚,切り,食べ応え,臭み,締め,ライス,別,注文,ライス,中,他,店,小位,量,注意,タレ,赤身,系,ライス,野菜,カレー,登場,一瞬,笑,カレー,上,ローストビーフ,一,枚,テンション,ビジュアル,肝心,カレー,スパイシー,本格,的,味,旨味,ホルモン,系,レバー,小腸,タレ,目,締め,冷麺,太,麺,味,デザート,アイス,カゴ,スタイル,コールドストーン,重そう,レモン,シャーベット,チョイス,正解,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,新橋,雑居ビル,看板,一瞬,無事,発見,扉,バーカウンター,フロント,出迎え,店,笑いえ,店内,テーブル,今,オープン,記念,放題,コース,アラカルト,ビール,乾杯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,金曜,夜,名,利用,ジェットコースター,天気,体調,イタリアン,ランチ,パスタ,夜,チャージ,肉,話,夢中,写真,肉質,上等,締め,ホルモン,脂,具合,塩,派,タレ,味,店,タレ,味,方,店,駅,店内,利用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,仲間,普段,利用,錦糸町,最近,出没,仕事,関係,錦糸町,北口,今回,プライベート,南口,店,老舗,居酒屋,三四,郎,オープン,店,発見,店,雰囲気,雰囲気,料理,原始,焼,銀シャリ,手ごろ,人数,人,第一印象,暖簾,焼,炉端,店,原始,焼,魚,炉,串,原始,焼,昔,魚,火,感じ,オーダーバリバリピーマン,肉,ウニ,煮卵,イワシ,原始,焼肉,汁,小籠包,メンチアジフライ,牛,料理,ピーマン,ピーマン,最初,ウニ,煮卵,煮卵,ウニ,以外,イクラ,豪華,毎回,知り合い,イワシ,原始,焼,焼,上げ,時間,脂,肉汁,小籠包,メンチ,肉汁,アジ,フライ,アジ,フライ,牛,名物,最後,正解,ドリンク,居酒屋,単価,ＣＰ,☆☆☆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,フォロワー,気,店,日本酒,力,探索,レーダー,反応,場所,錦糸町,南口,徒歩7分,錦糸町,丸井,裏手,辺り,夜,店,和菓子,白樺,天ぷら,評価,高め,ラーメン屋,開拓,利用,方法,仕事,友達,一杯,マンボウ,ラスト,閉店,仕事,入店,女の子,ホール,雰囲気,接客,オープン,外,中,綺麗,木,温もり,造り,居酒屋,女子,余裕,注文,¥760,看板メニュー,インスタ映え,メニュー,プチプチ,ウニ,醤油,味,旨味,プリン体,祭り,十分,誰,大根,¥150,大根,中,ヒット,ギブアップ,笑原,始,焼き,豚,西京味噌,漬け,¥870,豚肉,硬め,西京味噌,日本酒,原始,焼き,里芋,塩,バター,¥540,イモ,塩,バター,里芋,カラスミチーズポテトフライ,¥650,パウダー,状,カラスミ,別,贅沢,感,チーズ,ポテトフライ,香り,ジャンキー,感,マシマシ,ラストオーダー,注文,炭水化物,笑店,員,女子,炭水化物,好き,笑,酒,自重,ラフランスサワー,果汁,ジュース,帰り際,雨,傘,貸し,店員,店,神対応,絶対,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,銀シャリ,原始,焼き,食堂,ロビン,錦糸町,店,東京都墨田区江東橋,錦糸町駅,南口,マルイ,裏手,コチラ,店,目印,裏道,苦労,店内,カウンター,テーブル,奥,個室,炭,遠火,強火,原始,焼き,土鍋,オススメ,注文,料理,煮卵,肉汁,小籠包,メンチ,米茄子,熟成,牛タン,塩焼き,チーズ,ポテトフライ,注文,飲物,生ビール,生,パインサワーホッピー,白,煮卵,インパクト,抜群,煮卵,状態,後,煮卵,一緒,濃厚,醤油,ー,生,パインサワー,サワー,パイナップル,半分,サワー,分,スタッフ,分,ﾄﾞﾔｯｯ,他,肉汁,小籠包,メンチ,湯気,断面,最高,ｯｯ,味,抜群,最後,土鍋,料理,土鍋,緊急事態宣言,絶対,店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,日,会議,今日,サムギョプサル,食べ放題,同僚,韓国料理,店,サムギョプサル,食べ放題,飲み放題,コース,リーズナブル,値段,丸の内,最初,野菜,盛り,綺麗,感じ,一緒,キムチ,ナムル,副菜,兄さん,豚バラ肉,味付け,肉,チョイス,鍋,鍋,真ん中,穴,脂,バラ肉,大量,脂,迫力,鍋,横,穴,脂,ハサミ,肉,野菜,一緒に,タレ,他,味付け,味付け,感じ,肉,飽き,チヂミ,スンドゥブ,豚バラ肉,割り,大変,リーズナブル,印象,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
