,review,name,link
0,"金曜日、8月中旬から臨時休業となっている「ブタジマくん」の復活を確認に伺うも、まだ休業継続...仕方ないのでその近所でランチを探し歩いていると、先週も伺った「くんぺい」さんの日替りランチが鰻！！
これは行くしかないでしょう...と予定外の連続訪問。

正しい名称かどうか合っていない気もするけど、今回頂いた日替りランチは「鰻トロ丼」990円
鰻は好き...だけど出張などを除くと日頃のランチで頂くには、ちょっとお高いメニューなのでなかなか敷居の高い一品です。今回はそんな僕のお財布でも払えるギリギリ1000円以内という優しい価格設定なので、迷わず鰻♫

オーダー&支払いはいつも通り、入店即レジで行います。此方の支払いは現金かpaypayですが登録したクレジットカードの更新を失念していたので、paypayの利用は諦めて現金で行いました。日頃財布を持たず、スマホケースに幾らかの現金とスイカ、quick payと paypayで対応しているのですが、そのpaypayが使用不可の場合はちょっと焦ります

肝心の鰻トロ丼、オーダーから凡そ10分位で提供されました。鰻丼とトロロは別盛りにしてくれているので、まずは鰻丼として半分。決して上等なものでは無いけど、やっぱり鰻は鰻...うん、悪くない！
そして半分頂いた後で人生初のトロロと鰻のマリアージュ...うぅ〜ん、少し違和感。この組合せが好きな方もいらっしゃるかもですが、僕は別々に頂く方が好きみたいです。

しかしながら、こんなリーズナブルな価格設定で鰻を提供して下さり有り難い。とても美味しくいただきました。御馳走様でした。","['くんぺい', '厳選焼肉 一石三鳥', '銀シャリ 原始焼き 食堂 ロビン 錦糸町店', 'サムギョプサルと野菜\u3000いふう 丸の内店', 'TOKYO MERCATO', 'iL CHIANTI SUD 立川南口店', '雑賀 北千住駅前店', 'コクブンジ肉バル Tetsuo', 'もつ千 虎ノ門店', '馬肉専門 馬ちゃ 三軒茶屋店', '串カツ 田中 西葛西店', '牡蠣と日本酒 四喜 池袋西口駅前店', 'もつ鍋 地鶏専門店 うまか屋 赤羽本店', '東京豚バザール', '九州産直 炉端かてて 八丁堀はなれ', 'ちゃんこ玉海力 赤坂店', '和さ美 多摩センター駅前店', '龍祥軒 三田店', '焼肉とらじ館 日暮里店', 'お刺身と焼き鳥と鍋 食べ飲み放題 個室居酒屋 鳥桜 八王子店']","['https://tabelog.com/tokyo/A1310/A131004/13166381/', 'https://tabelog.com/tokyo/A1301/A130103/13267535/', 'https://tabelog.com/tokyo/A1312/A131201/13247781/', 'https://tabelog.com/tokyo/A1302/A130201/13031409/', 'https://tabelog.com/tokyo/A1310/A131003/13208682/', 'https://tabelog.com/tokyo/A1329/A132901/13036331/', 'https://tabelog.com/tokyo/A1324/A132402/13119632/', 'https://tabelog.com/tokyo/A1325/A132502/13172464/', 'https://tabelog.com/tokyo/A1308/A130802/13122679/', 'https://tabelog.com/tokyo/A1317/A131706/13251617/', 'https://tabelog.com/tokyo/A1313/A131305/13149320/', 'https://tabelog.com/tokyo/A1305/A130501/13154139/', 'https://tabelog.com/tokyo/A1323/A132305/13237638/', 'https://tabelog.com/tokyo/A1311/A131101/13016837/', 'https://tabelog.com/tokyo/A1302/A130203/13215720/', 'https://tabelog.com/tokyo/A1308/A130801/13207870/', 'https://tabelog.com/tokyo/A1327/A132702/13189699/', 'https://tabelog.com/tokyo/A1314/A131402/13244435/', 'https://tabelog.com/tokyo/A1311/A131105/13029633/', 'https://tabelog.com/tokyo/A1329/A132904/13233705/']"
1,"ドーン。
バーン。
ずずーん。


そんな表現がぴったりの、ぼりゅーみーすぎるランチを
食べることが出来るのが　こちらの『くんぺい』さん。笑


少し仲通りに入った所に、飲食店がちらほらあるこの通りは
メイン通りより静かで落ち着きがあり　結構散歩がてら通るの好きです。

本日は居酒屋ランチ。
外観に外側メニューが出ているのでわかりやすいです。
夜メニューもあるのですが、お値段も結構手頃。
日本酒が多そうですね。


ランチは
チキン南蛮・親子丼・唐揚げ・魚定食と　種類は少な目。
でもどれも1000円以下だし手頃です。
何より、私　チキン南蛮が大好き。笑
意外と定番でなかったりするので、チキン南蛮を見つけたら
入ってしまう位ｗｗ


店内は先払い制なので　すぐ決めないといけません。
（ちょっと記憶うろ覚え）
カウンタ―やテーブル席があり　チェーン店と個人店の間みたい。

すぐ料理提供されたのですが、
まあ冒頭通りの表現に戻るわけで。。。笑


めっちゃくちゃボリューミーすぎて。
え、食べきれるかな？って心配なほど。
これでご飯の大盛や　おかわり無料なので
男性の方は嬉しい悲鳴でしかないかもです。

チキンの方だけでもすっごい大きいのに、タルタルソースごってり！
ただ酸味が効いたタレと書いてありますが　あんまり酸味は感じないかなあ。
大味というか…食べることに必死過ぎてｗ
どちらかというと　全体的に甘い味付けだと思います。
こってり大味満載を片付けていく…ううう。


女性はこのハーフサイズとかあったらいいかなと。
この付近で居酒屋ランチって余りないので、もう少しだけ
メニュー数が増えると嬉しいなと思いました。","['旬菜山', '縁楽', '魚と日本酒 羽田市場', '月島 焼肉・ホルモンWabisabi DX', '個室焼肉ITADAKI 町田', '牛角 一之江店', 'うみまち酒場 さかなさま 浜松町店', '焼肉韓国料理sonagi', '薬膳火鍋 真巴石 渋谷店', '豊洲魚河岸 魚丸', '酒場ダルマ', '和食日和 おさけと 神保町', '刀削麺・火鍋・西安料理 XI’AN 新橋店', 'バル肉寿司 蒲田店', '串ジロー 赤羽店', 'Meet Meats 5バル 高田馬場店', 'フランツクラブ浜松町', 'ワイン酒場 GabuLicious 銀座店', '牛繁 幡ケ谷北口店', '肉料理 個室居酒屋 牛羊酒場 渋谷店']","['https://tabelog.com/tokyo/A1302/A130203/13064506/', 'https://tabelog.com/tokyo/A1309/A130905/13242324/', 'https://tabelog.com/tokyo/A1302/A130201/13261157/', 'https://tabelog.com/tokyo/A1313/A131302/13226186/', 'https://tabelog.com/tokyo/A1327/A132701/13233804/', 'https://tabelog.com/tokyo/A1312/A131205/13028276/', 'https://tabelog.com/tokyo/A1314/A131401/13250738/', 'https://tabelog.com/tokyo/A1318/A131802/13256722/', 'https://tabelog.com/tokyo/A1303/A130301/13241975/', 'https://tabelog.com/tokyo/A1329/A132901/13243225/', 'https://tabelog.com/tokyo/A1310/A131002/13259930/', 'https://tabelog.com/tokyo/A1310/A131003/13226799/', 'https://tabelog.com/tokyo/A1301/A130103/13007849/', 'https://tabelog.com/tokyo/A1315/A131503/13114483/', 'https://tabelog.com/tokyo/A1323/A132305/13266055/', 'https://tabelog.com/tokyo/A1305/A130503/13173166/', 'https://tabelog.com/tokyo/A1314/A131401/13046743/', 'https://tabelog.com/tokyo/A1301/A130101/13140019/', 'https://tabelog.com/tokyo/A1318/A131807/13114127/', 'https://tabelog.com/tokyo/A1303/A130301/13116633/']"
2,"水道橋駅から東洋学園大学裏へ

くんぺいさんでお昼ごはんです♪


メニューの左上の法則に則って

チキン南蛮定食にするかなぁ？

５個¥800-６個¥850-７個¥900-８個¥950-と明朗会計じゃな！

先払いにて５個の定食を

お支払いはPayPayにて(*^▽^*)


カウンター席にてご案内で

待つこと９分にて到着です(*^◯^*)

チキン南蛮はたっぷりのタルタルソース


一番少ない５個だけど・・・コレで充分だなぁ！

ご飯のおかわりも一杯無料なんだそうです♪","['牛恋 五反田店', '大型個室中華居酒屋 三九厨房 4号店 池袋東口店', 'QUONS', '焼き鳥・しゃぶしゃぶ・もつ鍋 食べ放題 個室居酒屋 トリ一番 渋谷店', '福炎や', 'ローストビーフ&肉寿司 全120種食べ飲み放題 M-1 渋谷店', '酒場フタマタ 西新橋店', 'ピッツェリアバール LoRo 錦糸町店', '宇田川鳥', '別海町酒場 新大手町ビル店', '博多串焼き・野菜巻きの店 九州よしき 新宿東口店', '喰しん坊つちや', 'sacra', '卓上レモンサワー×和牛と本鮪 もつ山', '新宿テラス 新宿東口駅前店', '焼き鳥 炙り焼き をどり 虎ノ門飯野ビル店', '鶏なか', '隠れ房 池袋店', '八重洲天ぷら串山本家', 'とり素揚げ 新小岩店']","['https://tabelog.com/tokyo/A1316/A131603/13237649/', 'https://tabelog.com/tokyo/A1305/A130501/13225312/', 'https://tabelog.com/tokyo/A1306/A130602/13004718/', 'https://tabelog.com/tokyo/A1303/A130301/13220733/', 'https://tabelog.com/tokyo/A1301/A130103/13047799/', 'https://tabelog.com/tokyo/A1303/A130301/13252352/', 'https://tabelog.com/tokyo/A1301/A130103/13243927/', 'https://tabelog.com/tokyo/A1312/A131201/13154505/', 'https://tabelog.com/tokyo/A1303/A130301/13242111/', 'https://tabelog.com/tokyo/A1302/A130201/13129255/', 'https://tabelog.com/tokyo/A1304/A130401/13205128/', 'https://tabelog.com/tokyo/A1304/A130403/13060875/', 'https://tabelog.com/tokyo/A1303/A130302/13014072/', 'https://tabelog.com/tokyo/A1315/A131503/13270097/', 'https://tabelog.com/tokyo/A1304/A130401/13187399/', 'https://tabelog.com/tokyo/A1308/A130802/13175196/', 'https://tabelog.com/tokyo/A1303/A130301/13179566/', 'https://tabelog.com/tokyo/A1305/A130501/13043090/', 'https://tabelog.com/tokyo/A1302/A130202/13238331/', 'https://tabelog.com/tokyo/A1312/A131204/13207473/']"
3,"最近流行りの一石三鳥。
焼き鳥屋さんが別にあるので
混同しないように注意！！
(ちなみに私は間違えました)


こちらはコース一種類のみ、飲み放題付き6000円！
オープニング価格らしいのですが、
安くてびっくり！！そして、全部美味しい。。
(現在は金額が変わっている可能性があります)


メニューは


サラダごまどれ
→普通に美味しい。量はそんなに多くないです。


ハチノス酢味噌がけ、かぶ、小松菜


白菜キムチ、タンのなめろう、カクテキ
→タンのなめろう初めて食べたけど、
癖がなくて食べやすい！美味しい！


ユッケわさび、とろろ、海苔の佃煮
→ユッケと海苔の佃煮の組み合わせは珍しい！
佃煮の甘塩っぱさとお肉がよく合います。


焼き物はまず塩から。


上たん塩
たんげた
みすじ
かいのみ


見た目からめちゃくちゃ美味しそう！！


鉄板だけど、タンが厚切りで食べ応えあって
臭みもなくて美味しかった！
締めまで待てずにここで、ライスを別注文。

※※ライス中で頼みましたが、
他店だと小位の量なので注意！


続いてはタレのお肉。


かめのこ
かたさんかく
はらみ


どれも赤身系で、あっさりした味わいながらも
しっとりとやわらかいです。
さらにライスが進む。。。


お腹が満たされてきたところで、
野菜を使い忘れたカレーが登場！

一瞬聞き間違えたかな？と思いましたが
合っているようです笑


カレーの上にはローストビーフが一枚乗っていて、
テンション上がるビジュアル。


肝心なカレーは結構スパイシーで本格的な味。
お肉をたっぷり使っているからか、旨味がすごいです！


ホルモン系はレバーと小腸。
タレをたっぷりつけていただきました！


2つ目の締めは冷麺。
太麺なので、お腹に貯まりますが、
味はあっさりしてて美味しいです。


デザートのアイスはカゴから選ぶスタイル。
コールドストーンもありましたが、
重そうだったので、レモンシャーベットをチョイス。


お口がさっぱりしました。
これにして正解◎


これだけ食べて6000円はやばい。安い。


ごちそうさまでした！","['胡椒饅頭KIKI', '日本橋 かぶき', '鉄板酒場鐵一 西新宿店', '旨唐揚げと居酒メシ ミライザカ 東武練馬駅前店', 'にいむら 大久保店', '焼き鳥バルIGOSSOU', '千里香 池袋店', '炭火焼肉・にくなべ屋 神戸びいどろ 大井町店', 'チーズタッカルビ&クッパ プサンアジメ 人形町', '個室とソファの燻製肉ダイニングGAGA 上野店', '炭火焼肉・韓国料理 KollaBo 上野店', 'ヤミツキヤ', '彩蔵\u3000 池袋サンシャイン通り店', '我ー喰う', 'Italianbar ATTACHMENT', '個室居酒屋 米助 錦糸町店', '牛恋 中目黒店', 'アジアンビストロDai 駒沢店', 'おきまろ', 'CONA 下北沢店']","['https://tabelog.com/tokyo/A1301/A130103/13030876/', 'https://tabelog.com/tokyo/A1302/A130202/13011266/', 'https://tabelog.com/tokyo/A1304/A130401/13250693/', 'https://tabelog.com/tokyo/A1322/A132203/13197868/', 'https://tabelog.com/tokyo/A1304/A130404/13027528/', 'https://tabelog.com/tokyo/A1329/A132901/13158604/', 'https://tabelog.com/tokyo/A1305/A130501/13114150/', 'https://tabelog.com/tokyo/A1315/A131501/13194580/', 'https://tabelog.com/tokyo/A1302/A130204/13218315/', 'https://tabelog.com/tokyo/A1311/A131101/13150444/', 'https://tabelog.com/tokyo/A1311/A131101/13193843/', 'https://tabelog.com/tokyo/A1303/A130302/13193791/', 'https://tabelog.com/tokyo/A1305/A130501/13172962/', 'https://tabelog.com/tokyo/A1318/A131809/13177202/', 'https://tabelog.com/tokyo/A1304/A130401/13265089/', 'https://tabelog.com/tokyo/A1312/A131201/13176135/', 'https://tabelog.com/tokyo/A1317/A131701/13241966/', 'https://tabelog.com/tokyo/A1317/A131707/13171803/', 'https://tabelog.com/tokyo/A1312/A131203/13256920/', 'https://tabelog.com/tokyo/A1318/A131802/13194173/']"
4,"新橋の雑居ビル。
まだ看板が出ておらず、一瞬どこか迷ってしまう。
お花が出ていたので、無事発見。
4階へと上がる。
扉が開くと、いきなりバーカウンターのようなフロントがお出迎え！

え？店間違えた？！笑
いえいえ、合ってます。
店内は、こじんまり4人テーブル×8くらい！

今は、オープン記念で飲み放題のコースになってます。
アラカルトはやってないのかな？？

ビールで乾杯ε=ヾ(*・∀・)/
前菜は6種類。
和牛のチム・筍キムチ・牛タンなめろう、
あと、頰肉の酢味噌和え・ほうれん草ナムル・かぶ。
これだけでもチビチビやれちゃうね。

一口サイズのユッケには、とろろと海苔の佃煮と山葵。
うずらの卵黄がちょこんと！
ぐちゃぐちゃに混ぜていただきます♬
味噌のドレッシングのサラダ。

お肉が始まるよε=ヾ(*・∀・)/
まずは、タン塩とタンゲタ。
ちょっと味は濃いけど、美味しい◎
一緒に提供される九条ネギを刻んだものがあって、それを一緒に食べるとちょうどいい具合になる！
また、この九条ネギがシャキシャキ良い食感で美味しい。
ありそうでない薬味✨

塩のトモサンカクと上ミスジ。
これ、写真撮り忘れてる(笑)
久しぶりに会う友達と一緒だったから、おしゃべりに夢中で。
どちらかを焼いてる写真はあった(笑)
これも、九条ネギでさっぱりが美味しい♬

あおさ？入りのコムタンスープは、塩気が強くなくてちょうどいい◎

お次はタレ肉！
ランボソ　ハラミ　マルカワ。
適度なサシ✨
お肉は基本、自分焼きなんだけど、焼いてるとちょこちょこスタッフさんが覗きに来て、何だかんだ焼いてくれるから安心♡
ハラミ美味しかったd(^_^o)

ちっちゃい土鍋？タジン鍋？みたいな器をパッカーンすると、和牛カレー。
ヒレが乗ってるのも嬉しい((⊂(*°ω°*)⊃))
ただ、カレー出てきたから終わりかと思ったら、ホルモンも出てきた！

レバーとホルモン。
レバーはサッと炙って、フニフニ半生が美味しい！
ホルモンは焼き加減難しいよねって言ってたけど、スタッフさんがいい感じに焼いてくれたので、脂を落としすぎず、焼きすぎず、いい感じ♡

〆は、鯖だし冷麺。
これがまた絶品✨
鯖がしっかり香る、結構パンチあるお出汁。
めちゃくちゃ美味しい。

んで、デザートがまた面白い。
桶にいろんなアイスが入って登場。
ワガママ言ったら2個くれた(笑)

みかんのでっかい棒のアイスと、イチゴのちっちゃいやつ。
選べる嬉しいし、おしゃれ✨

今はお花出てるからまだ分かりやすいけど、ここは知らなければ、なかなか辿り着けないと思う！
隠れ家すぎ(笑)",,
5,"冷え込む金曜夜におじさん2名で利用。ジェットコースターみたいな天気だとほんと体調おかしくなりますね。

お昼にイタリアンランチでがっつりパスタ食べたので、夜はたんぱく質をチャージせねばともりもり肉をいただきました。

話に夢中で写真撮り忘れましたが、肉質はどれも上等で、特に締めのホルモンは脂のつき具合が程よく、これだけでご飯かきこみたい。
どちらかというと塩派ですが、タレ味も甘すぎず辛すぎずでこの店ではタレ味の方が良さそう。

店は分かりにくいですが、駅から程近くて店内もこぎれい。
また利用したいです。",,
6,"○行ったきっかけ

いつもの飲み仲間との普段飲みに利用。

錦糸町には最近ちょこちょこ出没しています。仕事の関係で来ているので、いつもは錦糸町の北口あたりで飲むことが多いのですが、今回はプライベート飲みなので、あえて南口でぶらぶら探してみました。

あまり良さそうなお店がないなら、老舗居酒屋の三四郎でも行こうかと思ったら、オープンしたての
お店を発見！

お店の雰囲気は身構えてはいるほどは行かないが、かなりきれいな雰囲気。

料理は原始焼と銀シャリということでしたが、手ごろに飲めそうなので入ってみることに。


○人数

２人


○第一印象

暖簾に「焼」とでかく書いてあって、炉端？のお店かと思いましたが、原始焼とのこと。

魚を炉を囲むように串で刺して焼くというのが原始焼みたいです。昔の魚を火で焼いているような感じ？？


○オーダー

バリバリピーマン　肉みそ
ウニおんざ煮卵
イワシの原始焼
肉汁小籠包メンチ
アジフライ
牛ご飯


○料理について

・バリバリピーマンは本当に単なるピーマンなんですが、バリバリしててうまい。
最初のあてにちょうどいいです。

・ウニおんざ煮卵　こちら煮卵にウニ以外にもイクラがのってて豪華！毎回は食べれないけど
知り合い連れてきたら食べさせてあげたいな。

・イワシの原始焼　焼上げまでに時間がかかるとのことでしたが、脂がのってておいしい！

・肉汁小籠包メンチ　肉汁じゅわー

・アジフライ　アジフライでか！？

・牛ご飯　こちら名物みたいですが、最後に頼んで正解！がっつり食べちゃいました！


ドリンクもそんなに高くなく居酒屋ぐらいの単価なので、わりと飲んでしまいました。


○ＣＰ

☆☆☆☆",,
7,"Instagramのフォロワーさんがちょこちょこ行ってて、ご飯がキラキラで美味しそうだなぁって気になっていたこちら。
お店のInstagramを見てみると日本酒にも力を入れているようで、これは！むむむっ！と、美味しいもの探索レーダーが反応。

☆ 場所
錦糸町南口より、徒歩7分ほど。
錦糸町丸井やJRAの裏手あたり。この辺りは夜のギラギラしたお店も多い反面、和菓子の白樺さんや天ぷらのはせ川さん、評価高めのラーメン屋さんもあり、開拓のしがいがありそう。

☆ 利用方法
仕事終わりにお友達と軽く一杯。マンボウで20時ラスト21時閉店であるのに、仕事が遅くなり19時30分に入店。
可愛い女の子がホールでちょこちょこ動いていて、話しかけやすかった。

☆ 雰囲気・接客
オープンして1年半ほどで、外も中も新しく綺麗、木の温もりを感じる造りです。
居酒屋さんですが、女子1人でも余裕で来れそうです。

☆ 注文したもの
うに☆いくら→煮たまご ¥760
こちら看板メニュー？インスタ映えメニューの煮たまご。
いくらがプチプチで旨い！ウニはいくらの醤油味に負けてしまいあまり旨味を感じなかったですが、プリン体祭りは十分美味しかったです。これは、キラキラしていて誰でも頼みたくなっちゃいますね。

おでん ちくわぶ、大根 ¥150〜
大根は分厚くでっかいのに中までお出汁が染み染みで、思わぬところでヒット！
ちくわぶも美味しかったのですが、でっかすぎてギブアップするところでした。笑

原始焼き 豚の西京味噌漬け ¥870
豚肉は少し硬めでしたが、西京味噌が美味しく、これは日本酒に合いそうですな。

原始焼き 里芋塩バター ¥540
「イモ＋塩バター」美味しいに決まってる！
ほっこりねっとりの里芋にもよく合いますね〜。

カラスミチーズポテトフライ ¥650
パウダー状になったカラスミは別添え。たっぷりと贅沢感。
チーズのかかったポテトフライは炙られているので、こんがり香ばしい香りでジャンキー感がマシマシ。

ラストオーダーまで30分、急いで注文したら、炭水化物ばかりに。笑
店員さんに、女子ってほんまに炭水化物好きやなぁって思われたに違わない。笑

疲れ切っていたので、ぽん酒さんは自重。お酒が強くなさそうなラフランスサワーにしました。果汁もたっぷり、ジュースみたいに飲みやすくってごくごく。

☆ つぶやき
帰り際に雨が降っており、「傘お貸ししますよよ」と店員さん。
初めてきたお店なのに、神対応！

絶対にまた来ます！
ごちそうさまでした♫",,
8,"銀シャリ原始焼き食堂 ロビン錦糸町店
東京都墨田区江東橋2-7-7
03-5669-0663
.
.
錦糸町駅南口を出て、マルイの裏手あたりのコチラのお店✨
.
真っ白いのれんが目印なんですが
.
1本裏道に入るので、探すのにちょっと苦労...
.
店内はカウンターとテーブル、あと奥？2階？に個室もあるみたいです
.
炭を使って遠火の強火で焼く“原始焼き”と
.
土鍋ご飯がオススメ！っとのことでした
.
注文したお料理
◎うに、いくら、煮卵　690
肉汁あふれる小籠包メンチ　490
米茄子　490
熟成牛タン 塩焼き　790
からすみチーズポテトフライ
.
注文したお飲物
生ビール(プレモル)
◎生しぼりパインサワー
ホッピー白
.
特に『うに、いくら、煮卵』のインパクトが抜群！！！！
.
煮卵にうにとわさびがのった状態で、いくらをこぼれるほど後のせ
.
うに、いくら、煮卵を一緒に食べたときの濃厚さ、醤油なんていりません
.
そして、こぼれたいくらをつまみにお酒が飲めるー
.
生しぼりパインサワーは、サワーにパイナップルが“半分”もついてくる✨
.
「ちゃんとしぼれば、サワー3杯分とれますよ」
.
っとスタッフさんに言われたので、めっちゃがんばって5杯分とりましたﾄﾞﾔｯｯ
.
他にも『肉汁あふれる小籠包メンチ』のわったときの湯気、断面、最高ｯｯ！！
.
もちろん、味も抜群✨
.
「最後は、土鍋ご飯で〆よう！」っと企んでたんですが
.
料理がおいしすぎて、頼みすぎて、たどり着けなかった...
.
土鍋ご飯、残ったらおにぎりにしてもらえるらしいので
.
緊急事態宣言あけに、絶対行きたいお店です",,
9,"この日は会議の打ち上げ、
今日はサムギョプサル食べ放題ですよ。と同僚

韓国料理のお店なんですかね？
サムギョプサル食べ放題&飲み放題コース
3960円(別)

なかなかリーズナブルなお値段てすね丸の内では。

最初にどかんと来たのは、野菜盛り。
綺麗な感じですね。お肉と一緒に食べるんでしょうかね。
キムチ、ナムルなどの副菜もきました。
こちらはあまり美味しそうではありません。

そしてお兄さんが持ってきたのは、豚バラ肉。
4種の味付け肉からチョイスできるようです。

丸い鍋で焼くようです、よく見ると鍋の真ん中に穴があいていて、そこから脂が落ちるようになっています。なるほどこれは、面白いですね。
バラ肉だと大量の脂がでますからね。

さて焼きましょう！迫力がありますね。楽しいですね。鍋の横の穴から脂が落ちてきました。

ハサミで食べやすい大きさに切ります。
肉をいただきましょうね、美味しいですよ。
野菜と一緒にタレを付けていただきました。

他の味付けのものもいただきましたが、あまり強く味付けされていないので、あまり変わりばえない感じです。

さすがに肉だけだと飽きがきますね。
チヂミやスンドゥブもあるので、色々いただけはします。

豚バラ肉を喰う、という割りきりがあれば大変リーズナブルな印象です。

ご馳走さまでした。",,
